"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"1554793_at",1.29114524862264,5.51995665051549,6.93333861746073,3.903686803064e-10,3.87340202354168e-09,12.6946886200988
"236771_at",-2.30744809849916,6.18375152072489,-6.9330394157345,3.90929283018039e-10,3.87825993341765e-09,12.6932858229839
"219707_at",-1.01201188458438,7.9377701218726,-6.9328177922616,3.91345044316303e-10,3.88166663870335e-09,12.6922467624741
"227453_at",-1.96319539205322,8.58838421209514,-6.93278061486974,3.91414831255184e-10,3.88166663870335e-09,12.6920724609531
"228121_at",1.26721508882985,11.2757028132315,6.93231786272315,3.92284511119676e-10,3.88887892644379e-09,12.6899029330459
"221962_s_at",1.04170907160225,9.97914276615913,6.9318434276097,3.93178134359735e-10,3.89703039052418e-09,12.6876786841279
"206678_at",-4.04815568640705,7.52201800499873,-6.93174867919218,3.93356839307208e-10,3.89809418709573e-09,12.6872344905126
"226621_at",1.44489866712554,10.3220042214637,6.93128548191499,3.94231634041695e-10,3.9054237815498e-09,12.6850629884364
"238429_at",2.6801725635308,5.88278880895939,6.9307995396347,3.95151456030733e-10,3.9135971519553e-09,12.6827849105555
"231876_at",1.33963578238052,8.71415902714199,6.93076976400078,3.95207886273113e-10,3.9135971519553e-09,12.6826453253918
"210992_x_at",2.55767072328722,6.05214145804504,6.92925451539886,3.98090119772353e-10,3.94142416807968e-09,12.6755422692885
"214100_x_at",1.19085438904643,9.81314038855323,6.92921201712101,3.98171257375751e-10,3.94151293802101e-09,12.6753430572178
"214295_at",1.31991661270572,10.270052272413,6.92863743441186,3.99269858162223e-10,3.95095574629706e-09,12.6726497237957
"232062_at",-1.80266799893752,7.16410910824392,-6.92839250943007,3.99739066202264e-10,3.95416584359794e-09,12.6715016714617
"238073_at",-1.83733924567409,10.3795868431164,-6.92792470016389,4.00636776562515e-10,3.96161076922119e-09,12.6693089189279
"205876_at",1.06496948545574,8.37678722176439,6.92625790886831,4.03851553587428e-10,3.99195382734302e-09,12.6614966235345
"233351_at",-1.22663729217449,5.87525288827291,-6.92435790752391,4.07547295633745e-10,4.02557071015477e-09,12.6525920676278
"1559521_at",1.18315395198258,7.79437903860383,6.92390327599214,4.08436565622034e-10,4.03362498342064e-09,12.6504615158333
"1554181_at",-2.10410732964123,6.69141010095946,-6.92380952638182,4.08620180916374e-10,4.03470872181992e-09,12.6500221806344
"242870_at",1.11057437929916,9.38892417285249,6.92363857176452,4.08955218194662e-10,4.03728693623736e-09,12.6492210479321
"243296_at",2.05095085754433,11.1151804662073,6.92352916439247,4.09169777781345e-10,4.03867505403444e-09,12.6487083434242
"227240_at",-2.41807976177096,9.87375568446991,-6.92331470448494,4.09590680143997e-10,4.04209899073077e-09,12.6477033502527
"218550_s_at",-1.13439924001375,8.43888827758844,-6.92188235082017,4.12412856161203e-10,4.06847964478536e-09,12.6409913928988
"241330_x_at",1.78379717190492,5.40267156730478,6.92176839675317,4.12638205834991e-10,4.06996755197153e-09,12.6404574291413
