"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"207035_at",-3.95588943502413,5.98037846861348,-17.6052736594513,1.32070332204162e-32,7.2127570526659e-28,63.3797031154737
"204162_at",5.14260342552295,6.84930488147724,15.5611236601338,1.26244251040428e-28,3.44728864103544e-24,54.4527853054441
"222565_s_at",2.73438286655194,8.26122552361053,15.2847247227846,4.53819999040887e-28,8.26149053587332e-24,53.2032773280534
"201292_at",5.98325734587662,8.41240025666983,14.9471553748309,2.19299156763653e-27,2.99414621208334e-23,51.6638824696375
"215020_at",-3.89780312319715,5.26282482214783,-14.7284118508516,6.13133020736655e-27,6.69700673229819e-23,50.6586277664102
"1556749_at",-3.69323381897238,4.50238282078409,-14.4928100759841,1.86744690496319e-26,1.69978129701258e-22,49.5692032139793
"233144_s_at",-2.84539259733926,5.01576672633635,-14.0953087901695,1.24077749991979e-25,9.68036880044564e-22,47.715727720223
"201291_s_at",6.46993401608981,7.56356996324558,13.813209093828,4.80952116719734e-25,3.28327974380185e-21,46.3888967034366
"215700_x_at",-4.10591183006624,6.19142287386475,-13.598282390735,1.35819134641876e-24,8.24165600021866e-21,45.3718141289166
"241672_at",-3.07545417704358,7.88183588506431,-13.5296164319727,1.89435395612589e-24,1.03456352605903e-20,45.0457660543865
"218678_at",3.1441473937027,11.8920516634918,13.4202740088237,3.22114507206015e-24,1.59923996200383e-20,44.5254866330267
"200920_s_at",1.82896974531229,11.8775871894649,13.395905974026,3.62631106664637e-24,1.65036438568965e-20,44.4093570088573
"215434_x_at",1.87877777528243,10.5481748118782,13.3432220183628,4.68600794611446e-24,1.96859193816268e-20,44.158060868526
"225655_at",3.97463471394424,9.86589870148784,13.2516600427832,7.3215023825491e-24,2.77342845349738e-20,43.7206027195571
"214693_x_at",2.11861410794829,10.7480485712988,13.2435365771431,7.61749524883466e-24,2.77342845349738e-20,43.6817472897515
"214722_at",2.00768569987437,11.7343947107104,13.1861106114366,1.00825356191496e-23,3.44148448605387e-20,43.4068709308425
"225219_at",1.30709870517454,10.9216001658879,13.0633277461546,1.83817486859501e-23,5.90519082932821e-20,42.8179822148458
"201890_at",5.02270943266303,8.62059645577812,13.050459189255,1.95776412695623e-23,5.93996512585893e-20,42.756170674406
"203358_s_at",3.02959228531544,8.66053632778488,13.0367110615978,2.09417415979925e-23,6.01942807311138e-20,42.6901152444442
"209108_at",1.74154274726702,10.742547283892,12.9474009582256,3.24517933831108e-23,8.81784126113413e-20,42.2605323899996
"221539_at",3.22468702199179,8.63711480936026,12.9384673411579,3.39067010572239e-23,8.81784126113413e-20,42.2175164850256
"225060_at",-1.86504734743988,10.2294916279361,-12.9224864658643,3.66746380565511e-23,9.016476105988e-20,42.1405472954396
"207162_s_at",-2.43059168078443,4.3316585693682,-12.9154061026247,3.79724516942347e-23,9.016476105988e-20,42.1064376071836
"213921_at",-3.78691367097856,8.9449899300158,-12.9040284962537,4.01552301653482e-23,9.03451760889669e-20,42.0516152571969
"223239_at",-1.13441345689499,10.283735367643,-12.8980266364019,4.13569919657256e-23,9.03451760889669e-20,42.0226903449029
"204825_at",4.46386610809929,7.8164187216808,12.8895329305642,4.31196748876498e-23,9.05728771015084e-20,41.9817501815135
"221702_s_at",-1.07561767963499,11.8223757360767,-12.8077479334401,6.44715538802803e-23,1.30406850817176e-19,41.5871699749907
"202095_s_at",4.23055700914329,7.53631448941771,12.7461673868503,8.73145659465067e-23,1.70303942501306e-19,41.2896281293917
"228095_at",1.46034506382197,9.76457368952802,12.7133499501613,1.02646783675417e-22,1.93305130926397e-19,41.130909823318
"212213_x_at",-1.0589104667171,10.9333285314159,-12.6988132250255,1.10275973806906e-22,2.00750058583886e-19,41.0605707163537
"228747_at",-1.37351575811541,9.79355104118776,-12.6838787486067,1.18707259240738e-22,2.08819383713878e-19,40.9882855714152
"212533_at",3.17750309701827,9.82231324670999,12.6777433115888,1.2235585444572e-22,2.08819383713878e-19,40.9585828409089
"209113_s_at",2.16020490318433,8.46124653560691,12.6696924757444,1.27314828405788e-22,2.09102164347966e-19,40.9196017915068
"216056_at",2.96783364336181,6.74649710828013,12.6651845147968,1.3017914393699e-22,2.09102164347966e-19,40.8977721187
"212880_at",-1.949869590168,10.4207980686439,-12.636752518604,1.49796506990843e-22,2.33738189608312e-19,40.760045781738
"232125_at",2.39124441522361,9.66206733534173,12.5671360553622,2.11300353377221e-22,3.20548505527505e-19,40.422492351711
