"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0034765","regulation of monoatomic ion transmembrane transport","114/4203","318/18860",0.358490566037736,1.6086443196459,5.86158849549439,2.00209073632193e-08,1.16881315671386e-06,7.84835179482142e-07,"F2R/KCNAB1/UBR3/CALM2/FLNA/NEDD4/SNCA/GNB5/CACNA1C/WNK2/PPP3CB/PPP3R1/ANK3/GRIN2B/CD63/HPCA/VAMP2/SLC8A1/KCNJ3/SELENON/ANO6/GRIN1/ASIC2/CALM3/AKAP5/SRI/GNB2/PRKCE/NEDD4L/RYR2/CACNB1/NOS1/LYN/KCNAB2/GRIN2C/KCNJ4/AKAP6/EDNRA/PPP3CA/ANK2/KCNJ6/CALM1/FXYD7/RGS4/DRD1/KCNS2/PTPN3/AMIGO1/GRIN2A/KCNJ9/P2RX5/BIN1/FKBP1B/PRKD1/BAX/VMP1/CACNA2D1/FGF13/KCNC2/KCNIP4/DPP10/JPH3/TGFB1/THY1/OPRK1/KCNIP2/MCUB/CACNB2/ASPH/NOS1AP/JPH1/PRNP/CAV1/CRHR1/KCNJ12/CTSS/CYBA/CACNA1D/FGF12/CACNB3/ATP1B1/CHD7/ACTN2/PTK2B/UCP2/SCN1B/KCNG3/KCNC1/FXYD5/CAPN3/CXCL10/KCNJ1/SLC31A2/ITGB3/TMEM38A/FXYD1/CASQ1/KCNE3/PML/MMP9/SLMAP/CACNG1/GRIA1/TCIRG1/KCNIP3/CX3CL1/P2RX2/KCNJ10/EDN3/PIK3CG/AHNAK/CXCL11/KCNQ1/OSR1",114
"GO:0072006","nephron development","67/4203","160/18860",0.41875,1.87904472995479,5.97952442177999,2.13135475001012e-08,1.23286162374439e-06,8.27842472674138e-07,"NOTCH2/NUP160/SEC61A1/LAMB2/WWTR1/NID1/FOXD1/MEF2C/SOX9/KLHL3/SMO/SIX1/JAG1/ANGPT2/LAMA5/EDNRA/KIRREL3/PPP3CA/IRX3/IQGAP1/VANGL2/CFLAR/ENPEP/TMEM59L/TGFB1/HES1/MYC/VEGFA/HS3ST3B1/NOTCH1/CALB1/ERBB4/BASP1/YAP1/HS2ST1/PECAM1/GREM1/NUP107/BMP7/SIX4/HOXB7/AQP1/PTPRO/SULF2/ITGB3/ACTA2/TEK/EDNRB/GLI3/STAT1/WNT7B/FOXJ1/HOXD11/BMP2/GATA3/IRX1/NPNT/PDGFD/LIF/HS3ST3A1/POU3F3/PBX1/HOXA11/WT1/CITED1/CD24/OSR1",67
"GO:0007015","actin filament organization","156/4203","469/18860",0.332622601279318,1.49256775163643,5.78450506534416,2.1681304724653e-08,1.24273296626306e-06,8.34470886148845e-07,"WASF2/PAK1/WASHC4/FLNA/INPPL1/CALD1/CDC42/RAB40B/TPM3/ELN/BAG4/IQGAP2/TRIOBP/ARRB1/TMEFF2/CYRIB/CYFIP2/TMOD2/MYO5A/DPYSL3/CAP2/TAGLN3/ARPC5L/CYRIA/BRAF/LIMA1/TAGLN2/CLASP2/STMN1/MICAL2/DMTN/PHACTR1/GAS2L3/PLEKHG2/SYNPO/PRKCE/PAK3/NEDD9/F11R/WASF1/ARHGAP18/CD47/RUFY3/S100A10/PDXP/ZEB2/PALM2AKAP2/WASHC1/HSP90B1/BAIAP2/PACSIN1/SHANK1/NRP1/IQGAP1/GPR65/RGS4/FERMT2/SHANK3/FAM171A1/PDLIM3/TAC1/RHOQ/CORO6/SPTBN1/ZYX/KIRREL1/ELMO1/RHOC/BIN1/WDR1/ENAH/KANK2/RDX/SHTN1/CAPG/LIMCH1/ARPC1B/PAWR/PXN/CNN3/HIP1/HDAC6/RHOBTB2/PPP1R9B/RAPGEF3/SPTBN2/RHPN2/ADD2/ERMN/SPTBN4/LPAR1/COTL1/CUL3/TMSB15B/PPP1R9A/NEBL/SH3KBP1/HCLS1/ACTN2/CDC42EP2/COBL/KANK1/SYNPO2/CDC42EP4/PTK2B/PDLIM1/WASF3/DNM2/TWF1/CARMIL2/TMOD3/PPM1E/MSRB2/MARCKS/PYCARD/SFRP1/TPM2/SPTB/AVIL/RHOJ/TPM1/GMFG/SCIN/RHOH/WASH3P/MYO1D/RAC2/TMSB15A/TPM4/PROX1/ACTN1/ASB2/DAAM2/CTNNA2/EZR/FHOD3/DNAI3/SLIT2/CORO1B/ROCK1/ITGB5/VILL/CX3CL1/MICALL2/HIP1R/ARHGAP36/GDPD2/MYO6/ARHGAP25/MYO7A/SPIRE2/CCN2/SVIL/MET/F2RL1/AIF1",156
"GO:0046928","regulation of neurotransmitter secretion","44/4203","90/18860",0.488888888888889,2.19377693182119,6.0789529523669,2.46969115277724e-08,1.40282907371716e-06,9.41972291746804e-07,"CACNA1B/CPLX3/PRKCB/PRKCG/NPY/SYT5/STX1A/MICU3/STXBP5/SNCA/SNCG/SV2B/RAB3A/MEF2C/BRAF/SYT13/CALM3/PREPL/RIMS1/SYN1/STXBP1/CAMK2A/ATP2A2/PPFIA2/SEPTIN5/MYOF/RIMS2/PPP3CA/TSPOAP1/STX1B/SYT1/SYT4/RIMS3/MCTP1/CACNB4/CASK/CDK5/SNCAIP/SV2C/BAIAP3/GPR158/DYSF/KCNMB4/P2RY1",44
"GO:0072073","kidney epithelium development","64/4203","151/18860",0.423841059602649,1.90188969405329,5.95844715165806,2.5134633438254e-08,1.41494521275171e-06,9.50108042186631e-07,"SMAD5/NOTCH2/LAMB2/WWTR1/FOXD1/EPCAM/MEF2C/SOX9/KLHL3/SMO/SIX1/JAG1/LAMA5/EDNRA/IRX3/IQGAP1/KANK2/TMEM59L/TGFB1/HES1/MYC/VEGFA/CAT/HS3ST3B1/NOTCH1/CALB1/BASP1/YAP1/HS2ST1/PECAM1/GREM1/RARA/SPRY1/BMP7/SIX4/SFRP1/HOXB7/EPHA7/AQP1/PTPRO/EPHA4/EDNRB/GLI3/STAT1/WNT7B/FGFR2/FOXJ1/SLIT2/HOXD11/BMP2/GATA3/IRX1/SMAD2/NPNT/LIF/HS3ST3A1/POU3F3/PBX1/HOXA11/WT1/CRLF1/CITED1/CD24/OSR1",64
"GO:1901890","positive regulation of cell junction assembly","54/4203","120/18860",0.45,2.01927194860814,5.99808178614032,2.64635090522064e-08,1.47657012897488e-06,9.91487968402181e-07,"SEMA4A/RAB40C/LIMS1/LINGO2/RTN4RL2/CLSTN3/IL1RAPL1/STAU2/CLSTN1/ASIC2/SLITRK4/NPHP1/RTN4RL1/S100A10/ADGRB2/LRRTM1/SRPX2/IRX3/NRP1/FERMT2/AMIGO1/SEMA4D/LRTM2/ADGRB3/SLITRK1/CUX2/CBLN2/PTPRD/CNTNAP2/THY1/VEGFA/BDNF/DLG5/NTRK2/NRXN1/CAV1/SLITRK5/FLRT2/SYNDIG1/EFNA5/SFRP1/LRRTM2/EPHA2/IL1RAP/CLSTN2/IQSEC2/NTRK3/TEK/LRRTM4/TBX5/CBLN1/ROCK1/HOPX/EPHB2",54
"GO:0010959","regulation of metal ion transport","130/4203","377/18860",0.344827586206897,1.54733482651965,5.74849300917243,3.09476421950999e-08,1.70800577573152e-06,1.14689247965143e-06,"F2R/KCNAB1/UBR3/CALM2/FLNA/CRH/NEDD4/HTR2A/SNCA/GNB5/CACNA1C/WNK2/PPP3CB/PPP3R1/ANK3/CAMK2B/CD63/CAMK2G/YWHAH/VAMP2/SCN2B/SLC8A1/SELENON/ATP2B1/ANO6/GRIN1/SCN3B/CALM3/HFE/AKAP5/OPRD1/SRI/TMX1/GNB2/PRKCE/NEDD4L/CAMK2A/RYR2/CACNB1/NOS1/LYN/KCNAB2/AKAP6/PPP3CA/ANK2/CALM1/FXYD7/RGS4/DRD1/KCNS2/PTPN3/AMIGO1/P2RX5/BIN1/HOMER1/HOMER3/FKBP1B/PRKD1/CASK/BAX/CACNA2D1/FGF13/KCNC2/NKAIN2/KCNIP4/TSPO/DPP10/JPH3/TGFB1/THY1/HES1/OPRK1/KCNIP2/MCUB/CACNB2/GPD1L/ASPH/SPTBN4/NOS1AP/JPH1/PRNP/CAV1/CRHR1/CYBA/TREM2/CACNA1D/FGF12/ABCC8/ATP1B1/CHD7/ACTN2/PTK2B/B2M/UCP2/SCN1B/ATP2C2/KCNG3/LGALS3/KCNC1/CNTN1/STC2/FXYD5/CAPN3/CXCL10/SLC31A2/LPAR3/ITGB3/TMEM38A/FXYD1/CASQ1/STC1/KCNE3/PML/ADRA2A/SLMAP/CACNG1/KCNIP3/CX3CL1/P2RX2/LILRB1/NKAIN1/NKX2-5/EDN3/CCL5/LILRB2/PKP2/PIK3CG/CXCL11/KCNQ1/OSR1",130
"GO:0060537","muscle tissue development","151/4203","453/18860",0.333333333333333,1.49575699896899,5.71930069459905,3.11531584788461e-08,1.70800577573152e-06,1.14689247965143e-06,"SMAD5/HMG20B/NOTCH2/PAK1/CDK1/CDC42/IGSF8/SHOX2/ELN/PPP3CB/LARGE1/OBSL1/WNT10B/GJC1/YBX3/MEF2C/CSRP2/SLC8A1/SELENON/SOX9/MED1/SMO/PDLIM5/RBP4/NEURL1/SIX1/TLL2/AKAP13/RYR2/TBX2/LMNA/AKAP6/VGLL4/MBD2/EDNRA/HLF/PPP3CA/HEY1/COL3A1/SORBS2/CENPF/SOX11/IRX3/RGS4/XK/FZD7/VRK3/MRTFB/ENG/SAP30/HLX/HOMER1/LOX/TGFB2/MBD3/IFRD1/CDK5/ALPK3/HOXD10/CFLAR/CCNB1/ITGB1/COL6A1/HOXD9/NDRG4/TGFB1/VAMP5/FOXP1/RUNX1/MCUB/MYC/VEGFA/MEOX2/IGFBP5/PPARA/NOX4/NOTCH1/PRICKLE1/ERBB4/SMYD1/GJB6/ADAMTS9/NEBL/CAV1/POPDC3/CALR/YAP1/NUPR1/CHD7/ACTN2/GREM1/ZBTB18/RBM24/EFEMP2/CNTNAP1/CYP26B1/RARA/DDX17/BMP7/SIX4/MYOM2/GPC1/SGCD/MAPK11/TPM1/TREX1/CASQ1/KDM6B/IGF1/RCAN1/PROX1/FOXP2/FGF9/ASB2/LRP2/HNRNPU/TBX5/MYH11/MESP1/ERBB3/CACNA1G/FGFR2/FRS2/NRG1/FHOD3/RYR1/BMP2/ZFAND5/DMRTA2/FOSL2/HOPX/POU4F1/SOX6/ADRA1A/ALDH1A2/HIVEP3/P2RX2/NKX2-5/LEF1/MEGF10/EGLN1/FLNB/PKP2/PITX1/SVIL/CAV2/HDAC9/MYH7/MSTN/WT1/OSR1",151
"GO:0046879","hormone secretion","117/4203","331/18860",0.353474320241692,1.58613506537195,5.76105725345882,3.22793297650398e-08,1.75449288076359e-06,1.17810766166053e-06,"ENSA/CPLX3/PCLO/ACVR1C/SYT7/CRH/PRKCB/OXCT1/RAB11FIP2/STX1A/HTR2C/PPP3CB/FOXD1/ANXA1/MPC2/RAB3A/AACS/CAMK2G/HIF1A/GABBR1/VIP/MYRIP/SLC25A22/PTPRN/RAPGEF4/SOX4/GNAS/HFE/ACSL4/GNAO1/RBP4/SRI/CRHBP/PRKCE/GNAZ/LYN/PTPRN2/LRP5/CCDC186/DAB2/NMB/ITSN1/RIMS2/SCG5/NADK/DOC2B/SOX11/ADCYAP1/GLUD1/CRY2/TAC1/TUNAR/GRP/SLC16A1/VSNL1/HLA-DRB1/CPLX1/FKBP1B/BRSK2/PRKD1/VAMP8/SNAP25/SYTL4/KCNB1/TSPO/ADCY5/OPRK1/CHGA/GNAI1/RAPGEF3/GPR27/CHRM3/ITPR1/PLCB1/SYBU/CRHR1/ABCC8/KCNK9/EPHA5/CHD7/C1QTNF1/EFNA5/C2CD2L/UCP2/NIBAN2/BAIAP3/INHBB/MIDN/STXBP4/AQP1/TRPV6/CCN3/SELENOM/SMPD3/ADRA2A/NR1D1/CARTPT/NNAT/RFX3/ZBED6/RASL10B/TCIRG1/GALR1/GATA3/P2RY1/EDN3/F2RL2/CCL5/SMAD2/LIF/LTBP4/CCKAR/TRH/GNRHR/F2RL1/SLC16A10/KCNQ1",117
"GO:0001666","response to hypoxia","113/4203","317/18860",0.356466876971609,1.59956347839271,5.76489343633262,3.2821204186131e-08,1.76869822558595e-06,1.18764627293404e-06,"P4HB/PAK1/LIMD1/AJUBA/AGTRAP/CXCR4/KCNMA1/TP53/HIGD1A/MAP2K1/HIF1A/HSPG2/PIK3CB/OPRD1/IRAK1/CCNA2/STAT3/NONO/PRKCE/RYR2/PIN1/NOS1/PINK1/LMNA/ANGPT2/PLOD2/SCN2A/FAM162A/CPEB1/CBFA2T3/EDNRA/PLOD1/HSP90B1/PLAU/LOXL2/MMP14/ARNT2/ENG/DNMT3A/SOX2/TGFB2/CHRNB2/CFLAR/SOD2/CCNB1/DDR2/MMP2/TGFB1/HILPDA/PGF/MYC/VEGFA/NR4A2/NGB/CASP3/PPARA/CAT/DDIT4/NOTCH1/PDK3/ALAD/CA3/CYGB/ITPR1/KCNK3/CAV1/CYBA/TREM2/SLC11A2/ATP1B1/PDLIM1/CHRNA7/UCP2/BMP7/JUND/NFE2L2/SFRP1/STC2/AQP1/POSTN/PENK/HK2/PDK1/EPHA4/ITPR2/STC1/PML/PLAT/PGK1/AQP3/CBL/SLC8A3/FGFR2/MDM2/RORA/NPPC/RYR1/BMP2/FOSL2/VCAM1/WTIP/MPL/P2RX2/HP1BP3/TFRC/EGLN1/LIF/ENO1/DPP4/MSTN/ANGPTL4/MGARP/CD24",113
