"category","subcategory","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"Organismal Systems","Immune system","hsa04670","Leukocyte transendothelial migration","42/2156","116/9399",0.362068965517241,1.57842588446037,3.41991565091678,0.000792284684386604,0.00338170292116234,0.0019018900639319,"4267/5579/5582/998/7852/2773/9071/11069/5291/50848/4478/58494/3676/4301/1495/10627/3688/4313/5829/7070/2770/10411/1535/5175/2185/7410/29119/3689/5600/399/4318/5880/87/1496/7430/5010/6093/653361/7412/4689/24146/137075",42
"Environmental Information Processing","Signal transduction","hsa04350","TGF-beta signaling pathway","40/2156","110/9399",0.363636363636364,1.58525889694721,3.36854801078296,0.000947694053869944,0.00395958869690722,0.00222689650021549,"4090/130399/7050/3399/5933/5515/64750/3077/60436/2014/64388/3400/7042/1875/7040/4609/56963/4681/5595/26585/7018/655/3625/7044/268/6667/4838/7027/4052/650/6093/3397/2331/7037/4093/4087/5516/5519/7048/1030",40
"Cellular Processes","Cell motility","hsa04810","Regulation of actin cytoskeleton","74/2156","232/9399",0.318965517241379,1.39051804107223,3.28589994329869,0.000960638525558091,0.00395958869690722,0.00222689650021549,"57180/2149/10163/5058/4660/998/56924/7852/3696/10788/55970/51571/2335/26999/5604/81873/81553/673/8874/9459/5291/1956/5063/8936/3678/4478/1128/2768/10458/3676/8826/23365/57144/3679/8395/10000/55740/5962/3691/10627/3688/56034/10095/5829/5305/3672/1131/1902/208/9170/5595/50649/7074/7410/3689/653857/3690/85477/3680/5880/87/2254/7430/4629/8394/2263/22808/3985/6237/6093/3693/221178/2261/80310",74
"Cellular Processes","Cell growth and death","hsa04114","Oocyte meiosis","48/2156","138/9399",0.347826086956522,1.51633459707994,3.33368593771333,0.000972927508382916,0.00395958869690722,0.00222689650021549,"805/983/8945/108/1017/5532/5534/9748/5567/816/5604/818/5515/9133/7533/6790/808/699/22849/9700/815/7534/26271/367/64506/151648/5530/801/107/995/441273/4085/991/8243/891/111/9232/3708/9126/5595/5347/6196/27330/5600/3709/3479/5516/5519",48
"Human Diseases","Infectious disease: bacterial","hsa05135","Yersinia infection","48/2156","138/9399",0.347826086956522,1.51633459707994,3.33368593771333,0.000972927508382916,0.00395958869690722,0.00222689650021549,"57180/5601/6416/10163/998/2335/5602/5604/2776/81873/8874/5291/3654/3551/4615/3678/5970/5586/10458/3676/834/2212/23365/5599/8395/9844/10000/2533/3688/4792/10095/5829/4775/208/3725/5595/6196/2185/7410/29108/27330/5600/4773/653857/5880/8394/3606/6093",48
"Human Diseases","Cancer: overview","hsa05202","Transcriptional misregulation in cancer","65/2156","201/9399",0.323383084577114,1.40977625785728,3.20391491487071,0.00129055970607157,0.00519190686350631,0.00291995964955092,"6929/3020/7157/4208/1031/890/6495/6760/894/5970/5090/5328/3486/604/9915/7468/6935/581/8148/64919/862/4094/861/4609/8900/2118/2115/26471/929/7102/5914/84444/8351/51804/8938/85414/3206/6688/6667/4005/4616/1643/5371/4318/5327/3479/1647/2209/1848/3205/221037/4353/4193/8357/8355/597/958/2892/5077/5087/7048/4804/3207/7490/4233",65
"Organismal Systems","Digestive system","hsa04979","Cholesterol metabolism","22/2156","52/9399",0.423076923076923,1.84438775510204,3.33112042389798,0.00144344449913468,0.0057409724397402,0.00322875743227494,"19/4023/5360/6646/9218/3988/341/57552/706/10577/4035/6770/3931/9388/4036/29116/350/3949/949/948/9217/51129",22
"Human Diseases","Substance dependence","hsa05034","Alcoholism","62/2156","191/9399",0.324607329842932,1.41511330853141,3.16215782053177,0.00148670044369885,0.00584657477859099,0.00328814882284666,"805/1392/3020/4852/8362/10681/8520/2773/55970/10645/2904/5567/2785/5604/673/84254/94239/2902/116443/808/2778/2787/2775/79885/2783/2905/6464/8363/801/5173/1812/59345/2903/814/8969/111/5569/10013/2770/627/4915/8344/5595/51564/53358/8346/8351/84152/1388/8345/10014/54145/51764/8336/54331/8337/8357/8355/2354/94235/9734/2786",62
"Organismal Systems","Immune system","hsa04659","Th17 cell differentiation","39/2156","109/9399",0.357798165137615,1.55980749263842,3.20720673228523,0.00154680768703815,0.0060153632273706,0.00338307646170918,"5601/5532/5534/5602/3091/6774/3551/3126/5970/3122/5530/6777/3113/5599/3123/5588/4792/3108/7040/4775/3115/3127/861/3572/3725/5595/3119/5914/5600/3556/4773/3594/3117/6772/3566/6095/2625/4087/7048",39
"Organismal Systems","Nervous system","hsa04722","Neurotrophin signaling pathway","42/2156","120/9399",0.35,1.52581168831169,3.16266452718379,0.00170829555814559,0.0065703675313292,0.00369521422062725,"5601/805/5598/998/398/7157/5602/816/5604/818/673/808/5291/3654/3551/815/9261/5970/6464/801/5599/814/10000/581/4145/4792/397/9252/627/4915/208/3725/5595/53358/6196/4214/27330/5600/4916/10818/5607/4804",42
"Cellular Processes","Cellular community - eukaryotes","hsa04540","Gap junction","33/2156","89/9399",0.370786516853933,1.6164297179546,3.18776711866203,0.00175883183022659,0.00669120804977509,0.00376317565506148,"5598/983/5579/5582/3356/108/3358/2773/5567/5604/2776/10382/2983/2778/7277/1956/2915/107/2911/1812/153/2982/56034/111/2770/3708/1902/23236/5595/84617/3709/5607/80310",33
"Human Diseases","Immune disease","hsa05321","Inflammatory bowel disease","26/2156","66/9399",0.393939393939394,1.71736380502614,3.19068294694245,0.0019528511230165,0.00730106703156738,0.00410616401474616,"7097/6774/3126/5970/3122/3113/3123/7042/3108/7040/6775/3595/3115/3127/4094/3725/3119/64127/3594/3117/6772/3566/3606/6095/2625/4087",26
"Organismal Systems","Immune system","hsa04062","Chemokine signaling pathway","62/2156","193/9399",0.321243523316062,1.4004489219145,3.06671313997247,0.00197221029777686,0.00730106703156738,0.00410616401474616,"5058/5579/998/7852/108/10681/2773/408/55970/5567/2785/5604/2776/673/5291/2787/6774/3551/2783/58191/5970/4067/6464/157/6777/107/59345/9844/10000/56288/4792/111/5590/5829/2770/23236/208/5595/53358/2185/23533/7074/7410/1524/3627/51764/54331/5880/6772/56477/6093/653361/6376/94235/1794/6352/5294/6373/2786/131890/2921/9547",62
"Cellular Processes","Cellular community - eukaryotes","hsa04520","Adherens junction","34/2156","93/9399",0.365591397849462,1.59378179424262,3.13956648175637,0.00199073534458112,0.00730106703156738,0.00410616401474616,"10163/998/51701/64750/5818/1956/8936/117178/10458/8826/4301/1495/56288/10627/5819/4008/83439/5595/55698/10810/29119/5797/6591/9411/5880/87/1496/6093/52/51176/2064/7048/4233/999",34
"Environmental Information Processing","Signaling molecules and interaction","hsa04080","Neuroactive ligand-receptor interaction","109/2156","371/9399",0.293800539083558,1.28081227590276,3.01085697005747,0.00200257838580134,0.00730106703156738,0.00410616401474616,"6750/2149/887/1392/5646/4852/5733/3356/3358/2913/2904/2558/84539/2555/2550/7432/2563/2902/2562/116443/2917/7068/4985/59350/2912/6751/3274/6752/11255/2915/2905/1128/23620/2565/4828/1909/116/5173/2911/1812/66004/6866/2566/2557/7433/2903/6863/2922/2560/5026/1903/10888/2554/1141/2561/2743/4886/153/885/147/706/4986/9568/3361/2359/1131/1902/53637/9170/1394/79957/5368/80763/728/5645/5746/1139/5021/10203/5179/23566/3269/718/2891/150/1910/2893/344838/2894/2890/133/2587/148/22953/2357/5028/7067/1908/2151/2892/53829/886/2742/8001/7200/1268/2798/2150/4922",109
"Human Diseases","Drug resistance: antineoplastic","hsa01521","EGFR tyrosine kinase inhibitor resistance","30/2156","80/9399",0.375,1.63479823747681,3.11084881977988,0.00227874201074205,0.00822226498721359,0.00462425128604193,"1978/5579/5582/1977/5604/673/5291/6774/1956/6464/9470/10000/581/56034/7422/208/5595/53358/3479/2065/7039/2263/3084/9542/2261/2064/80310/10018/3082/4233",30
"Human Diseases","Cancer: specific types","hsa05219","Bladder cancer","18/2156","41/9399",0.439024390243902,1.91391013168017,3.19953419396422,0.00232937868830097,0.00831920960107489,0.00467877352000302,"7157/5604/673/1956/4313/1019/4609/7422/9252/5595/1890/595/4318/4193/2261/1029/2064/999",18
"Environmental Information Processing","Signal transduction","hsa04392","Hippo signaling pathway - multiple species","14/2156","29/9399",0.482758620689655,2.10456784594716,3.25015786808983,0.00239151363644968,0.00845484618946858,0.00475505635317481,"5058/8994/84962/25937/7003/55233/83937/6788/7005/8463/26524/7004/10413/126374",14
"Organismal Systems","Endocrine system","hsa04935","Growth hormone synthesis, secretion and action","42/2156","122/9399",0.344262295081967,1.50079838194592,3.03753933126679,0.00244318627759767,0.00855115197159185,0.00480921930432384,"6750/5601/6416/5579/5582/108/775/2773/5567/5602/5604/2776/5291/2778/6774/6751/6752/6464/3486/6777/107/5599/10000/112609/111/2770/8471/8651/3708/23236/208/5595/776/53358/4214/1388/5600/8835/3709/3479/6772/9021",42
"Human Diseases","Cancer: specific types","hsa05220","Chronic myeloid leukemia","29/2156","77/9399",0.376623376623377,1.64187528612389,3.08549128314436,0.00248125972865874,0.00859842480228275,0.00483580582865225,"7157/5604/673/5291/3551/5970/6464/6777/10000/7042/581/4792/7040/1019/861/4609/208/5595/53358/595/1021/4616/1643/1647/867/4193/1029/2122/7048",29
"Environmental Information Processing","Signal transduction","hsa04668","TNF signaling pathway","41/2156","119/9399",0.34453781512605,1.50199950109914,3.00666909873045,0.00268739104780781,0.00922143986992874,0.00518619325015541,"5601/6416/10059/9530/1540/5602/5604/5291/7132/3551/182/5970/4323/841/5599/10000/8837/4792/602/9252/1435/836/83737/208/3725/5595/6401/355/64127/1388/5600/3627/4318/9021/7412/6376/64285/257397/6352/3976/2921",41
"Human Diseases","Endocrine and metabolic disease","hsa04934","Cushing syndrome","51/2156","155/9399",0.329032258064516,1.43440361481836,2.97517261010748,0.00272716114367912,0.00922845476248197,0.00519013846792219,"1392/108/1017/775/2773/7480/5567/816/5604/818/2776/1031/673/2778/3739/1956/815/7474/107/8324/57552/111/1019/2770/3708/6770/23236/3777/83439/5595/1394/776/595/2535/8321/1021/8326/7855/1388/6667/3709/7477/8913/8312/50940/3949/51176/1029/949/5087/1030",51
"Human Diseases","Infectious disease: bacterial","hsa05110","Vibrio cholerae infection","21/2156","51/9399",0.411764705882353,1.79507257448434,3.10609951075124,0.0027421694151375,0.00922845476248197,0.00519013846792219,"55176/29927/535/9601/8992/534/51606/5567/523/529/11014/528/2778/526/23545/10945/525/23480/11015/10312/3784",21
"Organismal Systems","Circulatory system","hsa04270","Vascular smooth muscle contraction","45/2156","134/9399",0.335820895522388,1.46399842162102,2.95140661668077,0.00303528144536208,0.0101176048178736,0.00569020180734546,"805/4660/800/5579/5582/108/3778/775/5567/5604/2776/673/808/2983/2778/5581/2768/1909/801/107/23365/2982/147/5588/111/10242/3708/23236/5595/776/72/94274/10203/27345/3709/5320/8605/59/4629/4880/133/6093/148/1908/10335",45
"Organismal Systems","Endocrine system","hsa04910","Insulin signaling pathway","46/2156","138/9399",0.333333333333333,1.45315398886827,2.92576381449602,0.00323540295144829,0.01068293427365,0.00600814649375204,"1978/5601/805/3636/5836/89801/1977/5567/5602/5604/9322/673/90673/808/5291/3551/3632/79660/6464/868/9470/5575/801/3098/23433/5599/10000/5577/5590/8471/8651/208/5595/5563/53358/3991/3099/5576/5837/8835/867/122809/5255/9021/6009/5509",46
"Human Diseases","Immune disease","hsa05330","Allograft rejection","17/2156","39/9399",0.435897435897436,1.90027829313544,3.07364718069114,0.00334809009855381,0.0109516965840545,0.00615930003373893,"3133/3107/3106/3135/3105/3134/3126/3122/3113/3123/3108/3115/3127/3119/355/3117/958",17
"Human Diseases","Cardiovascular disease","hsa05417","Lipid and atherosclerosis","67/2156","216/9399",0.310185185185185,1.35224051741909,2.85730597805096,0.0035119309874362,0.0113812578296544,0.00640088786209132,"5601/839/6416/19/805/998/5532/5534/7157/5602/816/7097/818/808/5291/7132/3654/6774/3551/3665/4615/815/5970/4067/8795/7184/5530/834/801/841/5599/10000/581/6648/4792/4775/836/3708/23236/208/23643/3725/5595/1535/929/6401/7410/9619/29108/355/3329/4780/3310/5600/4773/3306/4318/3606/1558/653361/7412/3949/4689/958/6352/948/2921",67
"Organismal Systems","Digestive system","hsa04970","Salivary secretion","33/2156","93/9399",0.354838709677419,1.54690585911784,2.89171429742581,0.00397827873033866,0.0127742895010875,0.00718433725324317,"805/5579/5582/108/3778/5567/2776/6844/491/490/808/2983/2778/4842/492/801/107/6522/153/478/1471/2982/147/111/1131/3708/23236/481/55503/3709/5554/148/4069",33
"Human Diseases","Cancer: specific types","hsa05223","Non-small cell lung cancer","27/2156","73/9399",0.36986301369863,1.61240374107302,2.86572436105086,0.0045991056818402,0.0146335180785824,0.00822997858855614,"5579/5582/7157/5604/3800/673/5291/6774/1956/6777/27436/3798/10000/581/1019/208/5595/595/1021/4616/1643/1647/7039/1029/2064/3082/4233",27
"Organismal Systems","Excretory system","hsa04961","Endocrine and other factor-regulated calcium reabsorption","21/2156","53/9399",0.39622641509434,1.72733398676795,2.89695523372021,0.00472504250294018,0.0148987826669285,0.00837916498861842,"5579/161/5582/1212/5567/2776/6546/6543/491/490/2778/492/1759/26052/478/793/23236/481/9365/1785/6547",21
"Human Diseases","Cancer: specific types","hsa05216","Thyroid cancer","16/2156","37/9399",0.432432432432432,1.8851727423156,2.94325189015622,0.00481208204675534,0.0150377563961104,0.00845732464984256,"7170/7157/5604/673/7175/8030/581/4609/83439/5595/595/4616/1643/1647/51176/999",16
"Human Diseases","Cancer: specific types","hsa05224","Breast cancer","48/2156","148/9399",0.324324324324324,1.4138795567367,2.76881123488528,0.00489044059801074,0.0151473823832191,0.00851897896439691,"4853/675/8202/7157/7480/5604/1452/673/5291/1956/182/4041/6464/7474/23462/8324/10000/672/581/3280/1019/4609/4851/208/83439/3725/5595/3815/53358/595/2535/3714/8321/1021/8326/7855/6667/4616/1643/3479/1647/2254/7477/2324/8312/10683/51176/2064",48
"Human Diseases","Infectious disease: viral","hsa05161","Hepatitis B","52/2156","163/9399",0.319018404907975,1.39074860284326,2.74556752891108,0.00508985587671778,0.0156267504986949,0.00878857847595776,"332/5601/6416/5579/5582/1017/5111/7157/5602/7097/5604/3339/673/5291/3654/890/6774/3551/3665/4615/7534/5970/57506/6777/7098/841/5599/10000/7042/581/1960/4792/7040/6775/4775/4609/836/208/8900/3725/5595/2185/64135/4214/355/1388/5600/4773/1643/4318/6772/7048",52
"Cellular Processes","Cell motility","hsa04814","Motor proteins","60/2156","194/9399",0.309278350515464,1.34828720616644,2.67429520786562,0.00593172639118113,0.018053080320986,0.0101531609624794,"1639/10112/6993/9928/3831/11127/4649/7802/7170/81930/24137/3797/4644/3800/11004/10382/7277/1780/22920/57576/9493/146909/3832/56992/3798/23095/10627/10126/7138/92558/4651/27175/1062/547/90990/23046/4650/3833/8632/7169/51164/84617/72/7125/7168/4642/59/7171/79659/1770/4629/79819/126820/57644/4646/8735/4647/347240/23026/4625",60
"Human Diseases","Cancer: overview","hsa05231","Choline metabolism in cancer","34/2156","99/9399",0.343434343434343,1.49718895822792,2.71319153931782,0.00627136421254559,0.0189222196068186,0.0106419701247371,"1978/5601/10163/5579/5582/8525/5602/5604/3091/5291/1956/8936/10434/8526/5599/8395/10000/56034/1609/208/3725/5595/10810/1608/1607/5337/6667/8605/5880/8612/8394/5130/6009/80310",34
"Environmental Information Processing","Signal transduction","hsa04066","HIF-1 signaling pathway","37/2156","110/9399",0.336363636363636,1.46636447967617,2.68423282158954,0.00657756836755106,0.0196764865695972,0.0110661744015479,"1978/5579/5582/1977/816/5604/818/3091/5291/6774/1956/815/5970/5054/285/9470/3098/10000/7076/7422/2026/208/5595/7018/8453/3162/3099/5163/5230/3479/7010/230/6923/7037/54583/2064/2023",37
"Genetic Information Processing","Information processing in viruses","hsa03273","Virion - Lassa virus and SFTS virus","9/2156","17/9399",0.529411764705882,2.30795045290844,2.94476671077758,0.00681385670292692,0.0202105919154612,0.0113665584607255,"8828/3920/5099/5101/27328/64881/5097/4629/7037",9
"Organismal Systems","Immune system","hsa04612","Antigen processing and presentation","29/2156","82/9399",0.353658536585366,1.54176093940902,2.6881866745076,0.00703957437178719,0.0207046305052564,0.0116444087352871,"3133/3107/3106/3135/3105/8625/3134/3126/6890/3122/972/5721/3113/3123/10437/3108/3115/3127/1520/811/3119/567/6892/3824/3310/3306/3117/4800/4261",29
"Environmental Information Processing","Signal transduction","hsa04071","Sphingolipid signaling pathway","41/2156","125/9399",0.328,1.42990352504638,2.63982612725034,0.00715036324802676,0.0208552261400781,0.0117291046261492,"5601/55844/5579/5582/2773/7157/5602/5604/2776/5515/5522/5291/7132/4985/5581/5521/5970/130367/2768/253782/2207/5599/10000/1903/581/5590/2770/171546/91012/23236/208/53637/5595/55012/5600/5337/28227/5880/6093/5516/5519",41
"Environmental Information Processing","Signaling molecules and interaction","hsa04081","Hormone signaling","66/2156","219/9399",0.301369863013699,1.31381045568912,2.56360424675715,0.00775116939960193,0.0224207379327329,0.0126095578749505,"4090/6750/887/1392/108/10681/2773/55970/84539/5567/2785/2776/7432/11069/5291/2778/7068/2787/2775/4985/6774/2783/6751/6752/4842/2768/6777/107/5173/1812/59345/7433/153/885/147/111/4986/2770/10411/8471/23236/1394/5368/30061/7066/5021/268/5179/3690/51764/54331/3479/150/4880/148/53919/4352/7067/94235/4093/1734/886/2786/7200/2798/117247",66
"Organismal Systems","Endocrine system","hsa04928","Parathyroid hormone synthesis, secretion and action","38/2156","115/9399",0.330434782608696,1.44051786722594,2.59315059151745,0.00821402798299055,0.0235648343774319,0.0132530045972324,"5579/5582/108/65268/2773/408/5567/4208/5604/2776/673/2778/1956/11214/4041/2768/4323/107/9935/111/4929/2770/5141/3708/23236/5595/4326/9365/3727/5143/1388/5337/4209/6667/1594/3709/4325/2625",38
"Organismal Systems","Immune system","hsa04611","Platelet activation","41/2156","126/9399",0.325396825396825,1.41855508437141,2.58054014992888,0.0083040793760337,0.0236294941594455,0.0132893696475678,"2149/83660/108/2773/5567/2776/2983/5291/2778/4067/1281/107/2207/2212/23365/10000/8673/10627/1278/3688/2982/111/5590/2770/1277/83706/3708/23236/208/5595/23533/5600/3690/3709/8605/64805/6093/10125/5028/6850/5294",41
"Human Diseases","Cancer: overview","hsa05203","Viral carcinogenesis","62/2156","205/9399",0.302439024390244,1.31847142404634,2.51523175074417,0.00888405848891223,0.0250759715412845,0.0141028772277299,"983/3133/6672/2966/1111/998/5933/1017/8362/3107/7157/3106/5567/7533/3135/5291/79885/3105/890/6774/3665/7534/894/3134/9261/5970/4067/8363/6777/841/581/1960/991/4792/5829/1019/10013/3572/836/1108/8344/8900/3725/5595/51564/595/8346/1021/5934/1388/8345/10014/54145/85477/718/7337/87/4193/6850/1029/9734/1030",62
"Human Diseases","Cancer: specific types","hsa05213","Endometrial cancer","22/2156","59/9399",0.372881355932203,1.62556208924248,2.62969781267713,0.00896000220444426,0.0250880061724439,0.0141096455766827,"7157/5604/673/5291/1956/1495/10000/581/4609/208/83439/5595/595/29119/4616/1643/1647/1496/8312/51176/2064/999",22
"Organismal Systems","Circulatory system","hsa04260","Cardiac muscle contraction","30/2156","87/9399",0.344827586206897,1.50326274710511,2.57285779312705,0.00925256754169993,0.0254992018865746,0.0143409045196675,"10368/10479/775/7170/1349/6546/6543/6262/782/488/785/55799/59283/781/478/10369/783/444/776/784/481/1346/7169/7168/84679/9254/7171/786/6547/4625",30
"Human Diseases","Cancer: specific types","hsa05210","Colorectal cancer","30/2156","87/9399",0.344827586206897,1.50326274710511,2.57285779312705,0.00925256754169993,0.0254992018865746,0.0143409045196675,"332/5601/7157/5602/5604/673/5291/1956/5599/10000/7042/581/7040/4609/836/208/83439/3725/5595/595/4616/1643/5880/1647/7039/8312/51176/4087/10018/7048",30
"Genetic Information Processing","Replication and repair","hsa03030","DNA replication","15/2156","36/9399",0.416666666666667,1.81644248608534,2.67764002496259,0.0093867452466117,0.0256668815337039,0.0144352085618124,"5111/5424/4174/4172/5558/4176/4171/6117/10535/5982/4175/4173/6119/5985/6742",15
"Human Diseases","Infectious disease: bacterial","hsa05132","Salmonella infection","73/2156","248/9399",0.294354838709677,1.28322872404094,2.46610585661197,0.0097427483770825,0.0264338134261928,0.0148665356712724,"57180/5601/1639/6416/5058/2316/6993/3831/998/26999/5602/7097/5604/3800/81873/302/10382/5291/7277/7132/1780/3654/3551/4615/5063/6281/5970/8795/7184/834/841/3798/5599/9844/10000/581/10627/4792/10095/4609/5788/836/64746/208/83439/23643/3725/5595/60412/929/10810/26084/1785/29108/51164/84617/5600/9266/653857/57381/399/79659/9842/3606/837/6237/257397/5287/51176/4646/9265/5294/79026",73
"Human Diseases","Immune disease","hsa05323","Rheumatoid arthritis","32/2156","95/9399",0.336842105263158,1.46845034664584,2.50364859479748,0.0107307465353016,0.0288904714411965,0.0162481749158007,"535/8992/534/51606/7097/523/529/528/3126/3122/526/3113/23545/3123/7042/3108/525/7040/3115/3127/7422/1435/10673/3725/3119/3689/3117/7010/3606/10312/6352/2921",32
"Organismal Systems","Sensory system","hsa04750","Inflammatory mediator regulation of TRP channels","33/2156","99/9399",0.333333333333333,1.45315398886827,2.47288993099864,0.0114524751511995,0.0305982160528232,0.0172086207575276,"5601/805/5579/5582/3356/108/3358/5567/5602/816/818/2776/40/808/5291/2778/5581/815/801/107/5599/5588/111/3708/23236/5600/3556/3709/3269/8605/3479/79054/2150",33
"Human Diseases","Infectious disease: viral","hsa05160","Hepatitis C","48/2156","156/9399",0.307692307692308,1.34137291280148,2.34567444520163,0.0141833306981591,0.0376073162451188,0.0211505808656758,"55844/1017/7157/5604/5515/673/9071/7533/5522/5291/7132/6774/3551/1956/3665/7534/5521/5970/57506/7098/841/10000/581/8837/4792/1019/4940/4609/836/5465/3455/208/5595/595/4938/1021/355/3627/6772/9021/5010/3949/24146/4939/949/5516/5519/137075",48
"Genetic Information Processing","Replication and repair","hsa03440","Homologous recombination","16/2156","41/9399",0.390243902439024,1.70125345038237,2.45503831871183,0.0150937624324966,0.0397204274539385,0.0223390073199594,"580/675/5932/5424/4683/7979/6117/83990/146956/25788/672/5888/6119/8940/5893/6742",16
"Organismal Systems","Endocrine system","hsa04916","Melanogenesis","33/2156","101/9399",0.326732673267327,1.42437866235603,2.33938828923183,0.015656727334312,0.0408944370672328,0.0229992773881881,"805/5579/5582/108/2773/7480/5567/816/5604/818/2776/808/2778/2775/815/7474/801/107/8324/111/2770/7306/23236/83439/5595/3815/2535/8321/8326/7855/1910/7477/51176",33
"Human Diseases","Infectious disease: bacterial","hsa05131","Shigellosis","73/2156","253/9399",0.288537549407115,1.25786847257768,2.26843200413735,0.0157985010932264,0.0409590769083648,0.0230356312236518,"960/55752/57180/5601/10163/83660/7322/3020/8945/998/7336/7157/989/5602/81873/23176/5291/23157/7132/3551/1956/5581/4615/84557/8936/3678/5970/834/11335/3098/5599/9844/10000/10801/581/10627/55964/3688/5588/4735/4792/10095/5829/9252/3708/23236/208/3725/5595/3059/929/8351/29108/5600/9266/653857/3099/10892/3709/718/9140/87/440738/4193/8357/3606/837/115004/8355/6093/257397/6352/9265",73
"Human Diseases","Cardiovascular disease","hsa05418","Fluid shear stress and atherosclerosis","44/2156","142/9399",0.309859154929577,1.3508192009198,2.29813348842271,0.0161413521390101,0.0415402444753936,0.0233624833590936,"5601/6416/805/5598/7157/5602/119391/4208/808/5291/7132/3551/5970/7184/801/5599/10000/5590/4313/7422/208/3725/857/5563/1535/2949/5175/6401/6382/51588/2817/4780/5600/3162/3690/4318/5327/5880/445/5607/4880/653361/7412/858",44
"Environmental Information Processing","Signal transduction","hsa04070","Phosphatidylinositol signaling system","32/2156","98/9399",0.326530612244898,1.42349778501382,2.29922892762241,0.0172881363575271,0.0441667717163101,0.0248396580780451,"8867/805/3636/5579/5582/8525/3631/5297/3706/808/5291/22876/3632/51447/801/8871/9108/8526/8395/3705/1040/5305/1609/3708/23236/1608/1607/3709/3707/3635/8394/5287",32
"Human Diseases","Immune disease","hsa05332","Graft-versus-host disease","17/2156","45/9399",0.377777777777778,1.64690785405071,2.37319188163037,0.0176542785712339,0.0447753442024047,0.0251819229048111,"3133/3107/3106/3135/3105/3134/3126/3122/3113/3123/3108/3115/3127/3119/3824/355/3117",17
"Human Diseases","Infectious disease: bacterial","hsa05130","Pathogenic Escherichia coli infection","59/2156","200/9399",0.295,1.28604128014842,2.23077750998168,0.0178640830879331,0.0449815041782488,0.0252978685152858,"57180/5601/2149/10163/5058/998/26999/5602/4644/81873/9071/10382/7277/7132/3654/3551/4615/5063/8936/5970/8795/2768/10458/834/2212/23365/841/5599/581/3688/114483834/4792/10095/836/4651/1902/9170/3725/5595/3059/10810/29108/355/84617/5600/9266/653857/4642/7430/4629/3606/837/5010/6093/257397/24146/4646/9265/137075",59
"Human Diseases","Cancer: specific types","hsa05225","Hepatocellular carcinoma","51/2156","170/9399",0.3,1.30783858998145,2.20980043547772,0.0192264505850083,0.0479403052618283,0.0269619160419906,"5579/5582/7157/51412/7480/119391/5604/86/1452/673/5291/1956/6605/4041/6464/7474/8324/10000/7042/6599/581/7040/1019/4609/208/83439/5595/53358/595/2949/2535/8321/1021/8326/7855/4780/3162/4616/8193/1643/1647/7477/7039/55193/8312/51176/1029/4087/7048/3082/4233",51
"Cellular Processes","Cell growth and death","hsa04216","Ferroptosis","16/2156","42/9399",0.380952380952381,1.66074741584946,2.34139485535912,0.0193130944054794,0.0479403052618283,0.0269619160419906,"7157/2182/84557/55240/5094/5621/23305/4891/1356/30061/7018/6303/3162/23516/440738/7037",16
"Organismal Systems","Endocrine system","hsa04914","Progesterone-mediated oocyte maturation","35/2156","110/9399",0.318181818181818,1.38710153482881,2.22802269546059,0.0198775935000537,0.0486720415773812,0.0273734489472791,"5601/983/108/1017/2773/5567/5602/5604/9133/673/6790/5291/699/890/22849/6793/64506/107/995/441273/5599/10000/993/4085/891/111/2770/208/8900/5595/5347/6196/27330/5600/3479",35
"Environmental Information Processing","Signal transduction","hsa04310","Wnt signaling pathway","53/2156","178/9399",0.297752808988764,1.29804204623627,2.19018793660442,0.0199691517114703,0.0486720415773812,0.0273734489472791,"5601/5579/8945/5582/51701/5532/5534/7157/7480/5567/5602/816/818/1452/815/894/4041/5530/7474/57216/8324/8607/5599/4775/4609/340419/84870/144165/23236/81839/83439/3725/595/11197/2535/6424/8321/8326/7855/4919/6422/6907/9620/4773/5880/8840/23500/7477/8549/6423/8312/27123/51176",53
"Human Diseases","Cancer: specific types","hsa05211","Renal cell carcinoma","24/2156","70/9399",0.342857142857143,1.49467267426451,2.26637750042818,0.020025068534694,0.0486720415773812,0.0273734489472791,"5058/998/56924/5604/3091/673/5291/5063/9915/57144/10000/7042/7040/7422/2113/208/3725/5595/8453/6923/7039/54583/3082/4233",24
