"category","subcategory","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"Human Diseases","Infectious disease: viral","hsa05169","Epstein-Barr virus infection","76/2156","205/9399",0.370731707317073,1.61619077786325,4.86656727095205,2.79349573531124e-06,2.64249596583496e-05,1.48615562589816e-05,"960/7431/5601/6416/3133/4734/1017/3107/7157/3106/5602/7097/3135/965/5291/3654/3105/890/6774/3551/3665/4615/894/3134/7979/3126/6890/5970/57506/4067/3122/5717/3113/841/5599/8819/956/3123/10000/581/4792/3108/3280/1019/3115/4940/3127/953/4609/836/3455/208/8900/3725/811/3119/595/567/4938/1021/6892/355/5600/3627/4616/1643/3117/1647/6772/9636/4193/864/958/4939/6850/10018",76
"Human Diseases","Cancer: specific types","hsa05212","Pancreatic cancer","36/2156","77/9399",0.467532467532468,2.0381900103607,4.99057417611367,3.41278194451592e-06,3.14335179100151e-05,1.76783995463844e-05,"5601/675/998/7157/5602/5604/673/9459/5291/6774/3551/1956/5970/5599/10000/7042/581/7040/1019/5888/7422/208/5595/595/1021/5337/4616/1643/5880/1647/6772/7039/1029/4087/2064/7048",36
"Organismal Systems","Endocrine system","hsa04926","Relaxin signaling pathway","53/2156","130/9399",0.407692307692308,1.77731910946197,4.86897377660756,3.77234652039071e-06,3.38543918496602e-05,1.90399136116886e-05,"5601/6416/108/10681/2773/408/55970/1282/1284/5567/5602/2785/5604/5291/2778/2787/2775/59350/1956/2783/4842/5970/6464/1281/107/59345/5599/10000/1278/4792/111/5590/4313/7040/7422/2770/1277/23236/208/3725/5595/53358/1388/5600/51764/4318/54331/59/1910/94235/4087/7048/2786",53
"Human Diseases","Cardiovascular disease","hsa05410","Hypertrophic cardiomyopathy","43/2156","99/9399",0.434343434343434,1.89350368246472,4.87590601419045,4.48060761084211e-06,3.92053165948685e-05,2.20493058744072e-05,"10368/3696/775/7170/6546/6543/6262/782/3678/4842/4000/488/3676/785/3679/55799/59283/7042/3691/781/3688/10369/7040/6641/3672/783/5563/8082/776/784/7169/6444/7168/3690/1837/3680/9254/3479/7171/786/6547/3693/4625",43
"Human Diseases","Infectious disease: parasitic","hsa05145","Toxoplasmosis","47/2156","112/9399",0.419642857142857,1.82941707527167,4.81755982562103,5.19433158103481e-06,4.43418549600533e-05,2.49381259474585e-05,"5601/3913/3588/3915/2773/5602/7097/2775/7132/3654/6774/3551/4615/3126/5970/3911/3122/3113/841/5599/3123/10000/3912/7042/3688/4792/3108/7040/3115/3127/2770/836/8651/208/23643/3910/5595/3119/23533/3310/5600/3117/6772/4261/3949/958/5294",47
"Human Diseases","Infectious disease: bacterial","hsa05152","Tuberculosis","68/2156","181/9399",0.375690607734807,1.63780891563054,4.7270955107111,5.4570812469273e-06,4.54756770577275e-05,2.55757943151731e-05,"5601/805/535/3588/5532/5534/51606/5602/816/7097/818/808/7132/8411/3654/8625/4615/9902/815/3126/5970/3122/5530/972/801/2207/2212/3920/23365/3113/841/23545/5599/3123/10000/7042/581/3108/7040/3115/2215/3127/836/7096/208/9103/5595/1520/929/3119/3329/64127/3689/5600/4046/2213/10892/1594/3117/718/2209/6772/64581/4800/3606/10312/4261/6850",68
"Human Diseases","Infectious disease: viral","hsa05167","Kaposi sarcoma-associated herpesvirus infection","72/2156","196/9399",0.36734693877551,1.60143500814055,4.64231797881481,7.38654456750698e-06,6.01230371773824e-05,3.38135577508887e-05,"5601/6416/805/3133/3107/10681/5532/5534/55970/7157/3106/5602/2785/5604/3091/3135/808/5291/2787/7132/3105/6774/3551/2783/3665/84557/3134/9261/5970/4067/285/5530/801/7098/59345/841/5599/10000/581/4792/1019/4775/3572/4609/7422/836/3455/3708/208/83439/3725/5595/595/23533/1021/355/5600/4773/51764/3709/718/54331/1827/6772/440738/9976/94235/6850/51176/5294/2786/2921",72
"Environmental Information Processing","Signal transduction","hsa04371","Apelin signaling pathway","55/2156","140/9399",0.392857142857143,1.71264577259475,4.63488053979462,9.37095566609473e-06,7.45416927984808e-05,4.19226964009501e-05,"805/108/10681/2773/55970/5567/2785/4208/5604/2776/6546/6543/808/2787/2783/5581/84557/6262/4842/182/5054/801/107/59345/814/10000/111/2770/3708/23236/208/5595/5563/595/4899/23533/3991/10014/4209/51764/3709/5327/54331/59/440738/6547/22808/6237/6261/94235/4087/1490/5294/2786/999",55
"Cellular Processes","Transport and catabolism","hsa04148","Efferocytosis","60/2156","157/9399",0.382165605095541,1.66603642035853,4.59142694027449,1.03904876751971e-05,7.90580583982391e-05,4.4462727580363e-05,"19/1849/1850/816/5604/818/3091/3988/196527/5627/23355/63982/712/51761/815/961/9261/488/121601/10396/834/1844/8754/714/6566/713/1788/9844/4953/7301/140885/7040/4775/23166/114786/836/4035/5595/811/5175/1524/23250/5600/4773/1846/3690/203859/84465/9023/64805/3693/6376/84868/84466/51454/948/5087/286410/9392/100133941",60
"Environmental Information Processing","Signal transduction","hsa04390","Hippo signaling pathway","60/2156","157/9399",0.382165605095541,1.66603642035853,4.59142694027449,1.03904876751971e-05,7.90580583982391e-05,4.4462727580363e-05,"332/55844/8945/8994/84962/25937/7003/7480/1740/5515/7533/5522/55233/1741/7534/5521/894/5054/7474/8324/1742/6788/1495/7005/6657/56288/7042/2736/5590/8463/26524/7040/4609/9231/83439/7004/10413/595/2535/8321/8326/655/29119/6591/7855/3689/268/1496/7477/8312/650/126374/3397/51176/4087/5516/5519/1490/7048/999",60
"Human Diseases","Infectious disease: bacterial","hsa05100","Bacterial invasion of epithelial cells","35/2156","78/9399",0.448717948717949,1.95616883116883,4.62629674137821,1.44333121302314e-05,0.000107482111608106,6.04485860773408e-05,"55752/57180/10163/998/1212/2335/81873/23176/5291/23157/8936/3678/6464/1759/26052/1495/9844/10801/55964/3688/4735/10095/5829/857/3059/53358/26084/1785/29119/653857/867/1496/858/4233/999",35
"Cellular Processes","Transport and catabolism","hsa04145","Phagocytosis","89/2156","259/9399",0.343629343629344,1.4980390541615,4.43427925394785,1.48294887586719e-05,0.000108131688865316,6.08139122340271e-05,"55176/1639/23710/29927/6993/535/3133/114876/3107/8992/534/51606/3106/967/7097/523/6844/529/3135/528/10382/5291/7277/1780/8411/3105/9902/84557/4481/3134/3678/4842/3126/6890/3122/526/1759/2212/3920/26052/3113/23545/3123/5874/3688/3108/525/89849/3115/2215/3127/7096/23480/9103/1520/1535/811/2220/929/3119/1785/4057/51164/3689/84617/1311/3690/2213/4318/3117/718/22879/5880/9140/2209/79659/440738/64581/4353/10312/653361/4689/3693/4069/6850/949/948/4317/290",89
"Human Diseases","Infectious disease: viral","hsa05166","Human T-cell leukemia virus 1 infection","79/2156","224/9399",0.352678571428571,1.53748881857938,4.44194587856794,1.5489760724494e-05,0.0001106411480321,6.22252471639179e-05,"5601/6416/83660/6929/3133/1111/108/1017/3107/5532/5534/7157/3106/5567/5602/5604/9133/1031/3135/5291/7132/3105/890/9700/3551/701/894/3134/3126/5970/3122/2114/5530/6777/8829/107/3113/5599/291/3123/10000/7042/581/4085/991/4792/706/3108/111/7040/1019/4775/3115/3127/4609/2113/9232/208/8900/3725/5595/811/3119/595/23373/567/4214/3689/1388/4773/6688/3117/115650/3601/958/1029/4087/7048/1030",79
"Organismal Systems","Immune system","hsa04666","Fc gamma R-mediated phagosome formation","41/2156","98/9399",0.418367346938776,1.82385653704896,4.4728327968279,2.22704066995195e-05,0.000152836124408467,8.59559556823559e-05,"57180/10163/5058/3636/5579/5582/998/5604/81873/5291/5581/8936/4067/273/2212/8395/274/10000/10095/2215/5788/4651/208/5595/10810/1785/7410/4082/5337/653857/2213/85477/8605/5880/2209/8612/3635/8394/3985/653361/6850",41
"Organismal Systems","Endocrine system","hsa04925","Aldosterone synthesis and secretion","41/2156","98/9399",0.418367346938776,1.82385653704896,4.4728327968279,2.22704066995195e-05,0.000152836124408467,8.59559556823559e-05,"23683/805/5579/5582/108/775/57118/25865/5567/816/57172/818/2776/491/490/5138/808/2778/5581/815/492/801/107/814/5587/478/111/4929/3708/6770/23236/3777/776/51305/481/1388/3991/3709/8913/3949/949",41
"Environmental Information Processing","Signal transduction","hsa04014","Ras signaling pathway","82/2156","238/9399",0.34453781512605,1.50199950109914,4.27959999647646,2.85692444124037e-05,0.000192292991237332,0.000108146734921447,"8437/5601/5058/805/5579/5582/5924/998/56924/10681/55970/2904/5567/5602/2785/5604/2902/808/5291/2787/3551/1956/2783/5923/5063/5970/285/6464/2114/283455/9771/801/59345/57144/4301/2903/5599/10000/9462/56034/5228/7422/2113/1435/627/4915/208/5595/3815/53358/1944/1946/57186/7074/1969/5337/51764/5320/8605/54331/5880/3479/7010/2254/7039/2263/22808/6237/51365/2324/1945/10125/2323/94235/2261/1943/80310/25780/2786/4804/3082/4233",82
"Human Diseases","Infectious disease: bacterial","hsa05120","Epithelial cell signaling in Helicobacter pylori infection","32/2156","71/9399",0.450704225352113,1.96482792861062,4.45212785747545,2.98404551013203e-05,0.000197059609159663,0.000110827509512352,"5601/6416/5058/535/998/8992/534/51606/5602/523/529/528/3551/1956/50848/5970/4067/58494/526/23545/5599/4792/525/836/3725/5803/5600/10312/6352/150084/2921/4233",32
"Organismal Systems","Immune system","hsa04658","Th1 and Th2 cell differentiation","39/2156","93/9399",0.419354838709677,1.82816146986654,4.37882740340918,3.28539319439796e-05,0.000212942151488757,0.000119759946852323,"5601/84441/4853/5532/5534/5602/3551/3126/182/5970/3122/5530/6777/3113/5599/3123/5588/4792/3108/6775/3595/4775/3115/3127/4094/4851/3725/5595/3119/3714/5600/4773/3594/3117/6772/3566/864/10683/2625",39
"Human Diseases","Substance dependence","hsa05030","Cocaine addiction","24/2156","49/9399",0.489795918367347,2.13524667752073,4.34675667912604,5.65766179113501e-05,0.000355348598563126,0.000199850189267081,"2773/2913/2904/5567/2902/116443/2778/2912/8851/5970/2905/5173/1812/1742/2903/1020/111/2770/627/3725/84152/1388/2891/2354",24
"Organismal Systems","Digestive system","hsa04971","Gastric acid secretion","33/2156","76/9399",0.434210526315789,1.89292427497315,4.26409075899442,5.68557757701002e-05,0.000355348598563126,0.000199850189267081,"6750/887/805/5579/5582/108/2773/5567/816/818/2776/808/2778/815/3274/6752/801/107/6522/478/111/2770/1131/3708/23236/481/3758/54207/3709/7430/115111/3766/3784",33
"Environmental Information Processing","Signaling molecules and interaction","hsa04519","Cadherin signaling","126/2156","404/9399",0.311881188118812,1.35963417770348,4.0311959846061,5.98970748291613e-05,0.000367789055968534,0.000206846777341702,"7431/57180/5601/8994/84962/998/1006/25937/7003/7480/2558/26999/5602/2555/5604/81873/1452/7533/6327/51474/2563/55233/2562/55800/56137/1007/3551/1956/56127/7534/8936/1016/5970/4041/2565/57717/9708/7474/1009/57216/1010/2566/8324/2557/4301/5599/6788/1495/5099/2560/7005/2554/55740/2561/5098/56123/5101/4792/10095/8463/26524/9752/56111/64405/56125/144165/81839/83439/7004/5595/10413/27328/3872/2535/2185/8321/6324/7410/56128/8326/28513/51107/29119/7855/56130/57575/84152/1012/56134/9620/5600/653857/64881/5097/4642/56106/5880/56129/87/56132/51294/23500/1496/7477/22808/56124/6237/57526/2324/1008/8312/6093/126374/3875/154810/51176/4647/2064/5318/5100/54510/3855/56099/1015/4233/999",126
"Cellular Processes","Transport and catabolism","hsa04144","Endocytosis","84/2156","250/9399",0.336,1.46477922077922,4.06361682714208,6.38881579050235e-05,0.0003855319873579,0.000216825508679481,"57180/2060/9922/23325/6457/11031/93343/3133/161/22841/998/56904/4734/7852/30845/3107/1212/23362/377/408/84440/3106/3800/81873/10193/3135/9829/64750/8411/3105/1956/23327/3134/1601/868/273/157/100287171/1759/116988/26052/3798/8395/274/56288/116987/440073/5590/5662/10095/27131/6456/83737/116986/254122/857/30011/1785/55680/51100/64411/3310/9266/5337/155382/653857/30846/23096/5371/30844/867/8394/2263/4193/55737/3949/2261/7037/4087/9265/858/7048/89853/131890",84
"Environmental Information Processing","Signal transduction","hsa04012","ErbB signaling pathway","36/2156","86/9399",0.418604651162791,1.82489105578807,4.19260429368125,6.82180567522853e-05,0.000404683387513557,0.000227596371323414,"1978/5601/6416/5058/5579/5582/56924/5602/816/5604/818/673/5291/1956/5063/815/6464/868/6777/57144/5599/10000/10718/4609/2066/208/3725/5595/53358/867/2065/7039/3084/9542/2064/685",36
"Organismal Systems","Development and regeneration","hsa04380","Osteoclast differentiation","53/2156","142/9399",0.373239436619718,1.62712312838067,4.10813507047892,7.03885445097907e-05,0.000410285708603648,0.000230747150402653,"5601/5532/5534/1540/5602/5604/5291/7132/3551/5970/488/5530/2212/5599/814/10000/7042/4792/140885/7040/2215/7305/1435/11025/8651/3455/3708/208/9103/3725/5595/1535/54209/126014/3727/4982/5600/4773/3690/2213/6688/3709/2209/6772/9021/2355/653361/4689/10859/2354/6850/10288/7048",53
"Environmental Information Processing","Signal transduction","hsa04022","cGMP-PKG signaling pathway","60/2156","166/9399",0.36144578313253,1.57570914455596,4.08289874903875,7.15069377852072e-05,0.000410285708603648,0.000230747150402653,"805/108/3778/775/5532/5534/2773/4208/5604/2776/6546/6543/491/490/5138/808/2983/4985/5581/488/2768/1909/5530/492/801/107/291/10000/153/478/2982/147/111/4775/2770/10242/8471/3708/23236/208/5595/776/481/23533/2969/1258/1388/4773/4209/27345/3709/150/1910/6547/4880/6093/148/5294/10335/4625",60
